pub_sourceid,sourcetitle,AJSC_Codes
11400153317,Tissue Engineering - Part C: Methods,2204
17942,Neurological Sciences,2738
27111,Andrologia,1310
25584,Diabetologia,2712
13544,"Reproduction, Fertility and Development",1310
21892,Journal of Behavioral Health Services and Research,2739
19608,Annals of Clinical Microbiology and Antimicrobials,2726
12354,The Lancet Oncology,2730
22440,Journal of Infectious Diseases,2723
21872,Eurosurveillance,2739
4400151514,Globalization and Health,2719
4800152310,HSS Journal,2746
17494,Neuroepidemiology,2728
23053,Journal of Natural Products,1602
15626,International Journal of Law and Psychiatry,3308
12005,Journal of Traumatic Stress,2738
29769,Familial Cancer,1306
83472,Romanian Journal of Morphology and Embryology,2710
19700188449,Medical Ultrasonography,2741
130005,European Journal of Medical Genetics,1311
19228,Restorative Neurology and Neuroscience,2808
5300152615,International Journal of Public Health,3306
64864,Midwifery,2913
19930,International braz j urol : official journal of the Brazilian Society of Urology,2748
22302,Stereotactic and Functional Neurosurgery,2728
21103,Milbank Quarterly,2719
4800153101,Expert Review of Clinical Immunology,2723
15970,Journal of Medicinal Food,2701
22558,Cardiovascular Pathology,2734
17712,Qualitative Health Research,2739
19700201141,Journal of Ayurveda and Integrative Medicine,2707
20049,Behavioural Pharmacology,2738
19600157748,Ansiedad y Estres,2738
23308,American Journal of Physiology - Endocrinology and Metabolism,2737
32957,Acta Clinica Belgica,2700
19700188406,Diabetic Foot and Ankle,2724
22810,British Journal of Criminology,3207
27997,Public Health Nutrition,2916
20640,Thrombosis and Haemostasis,2720
20626,Clinical Pharmacology and Therapeutics,3004
14893,International Journal of Psychoanalysis,2738
26159,Journal of Clinical Endocrinology and Metabolism,1310
3600148103,Sexual Health,2739
17304,NMR in Biomedicine,1313
15546,European Archives of Psychiatry and Clinical Neuroscience,2738
15030,Indian Pediatrics,2735
5700191210,Implementation Science,2719
22235,Heredity,1311
21100245727,Epidemiology Biostatistics and Public Health,2719
19400158512,Musculoskeletal Surgery,2746
17065,Lasers in Medical Science,2708
37971,International Journal of Cardiovascular Imaging,2705
19831,Sleep and Breathing,2728
19380,Seizure : the journal of the British Epilepsy Association,2808
19700200839,Trends in Anaesthesia and Critical Care,2706
17857,Journal of the Medical Library Association : JMLA,3309
21100438328,Health security,2307
12602,American Journal of Human Biology,2702
17601,Journal of Clinical Biochemistry and Nutrition,2916
29100,Cancer Control,2720
19700201505,Journal of Bronchology and Interventional Pulmonology,2740
19842,Exercise and Sport Sciences Reviews,3612
14897,Journal of Electromyography and Kinesiology,2728
16747,Journal of Neuroimaging,2728
11900154314,Cardiovascular Therapeutics,2705
21100301604,Pediatric Dental Journal,3501
21100285069,Hospital pediatrics,2700
144617,Complementary Therapies in Clinical Practice,2707
28055,Australian Journal of Primary Health,2719
19700175164,Frontiers in Human Neuroscience,2802
26203,Metabolism: Clinical and Experimental,2712
19830,Sleep,2737
5300152611,European Journal of Trauma and Emergency Surgery,2732
14183,Aphasiology,2733
22377,Value in Health,2739
15770,Physical and Occupational Therapy in Pediatrics,3609
19700182119,"Pediatric, Allergy, Immunology, and Pulmonology",2735
16756,Acta Histochemica,1307
27707,Heart and Lung: Journal of Acute and Critical Care,2705
7600153113,Breastfeeding Medicine,2729
21100464658,Journal of innovation in health informatics,2718
4700152905,Journal of LGBT Issues in Counseling,3202
22343,Infection and Immunity,2405
30025,British Journal of Nutrition,2701
22083,Cytokine,2403
29799,Indian Journal of Orthopaedics,2732
14853,Cerebellum,2728
27628,Journal of Psychosomatic Obstetrics and Gynaecology,3203
19600166325,Cardiovascular Engineering and Technology,2705
17065,Lasers in Medical Science,2746
5800173383,Current Clinical Pharmacology,3000
24863,Journal of Dermatology,2708
22810,British Journal of Criminology,3308
19835,Current Sports Medicine Reports,2732
19173,Psychosomatics,2738
27952,Journal of the Formosan Medical Association,2700
13674,Dysphagia,3616
25612,International Journal of Computerized Dentistry,3501
25411,BMC Endocrine Disorders,2712
4500151524,Acta Ortopedica Brasileira,3612
19700200840,Childhood Obesity,2712
19700175140,Genome Medicine,1311
14900,Clinical Neurophysiology,2728
21370,Expert Review of Neurotherapeutics,2800
21003,Environmental Health Perspectives,2739
23825,Journal of Atherosclerosis and Thrombosis,2724
21100820001,Neurology: Neuroimmunology and NeuroInflammation,2728
21100820001,Neurology: Neuroimmunology and NeuroInflammation,2808
21337,Health Research Policy and Systems,2719
14678,Infectious Diseases in Clinical Practice,2725
14521,BMC Pediatrics,2735
26202,Metabolic Syndrome and Related Disorders,2712
19816,Biology of Sport,3612
11900154314,Cardiovascular Therapeutics,2736
27580,Journal of Assisted Reproduction and Genetics,2729
20321,International Journal of Offender Therapy and Comparative Criminology,1201
19700188125,Molecular Syndromology,1311
14800,Sexual Addiction and Compulsivity,3203
21100237606,Photoacoustics,3107
7800153101,Review of Diabetic Studies,2712
22129,Genes and Immunity,2403
12759,Omega: Journal of Death and Dying,2706
15119,Journal of Tropical Pediatrics,2735
21100266501,International Journal of Mycobacteriology,2726
16151,Medical Law Review,2701
21100220495,The Lancet Respiratory Medicine,2740
16667,Journal of Cerebral Blood Flow and Metabolism,2728
26627,Internal Medicine,2724
13124,"Trauma, Violence, and Abuse",2739
5200152840,Intellectual and Developmental Disabilities,3304
20885,Health Expectations,2739
15847,New England Journal of Medicine,2700
26699,Reviews in Endocrine and Metabolic Disorders,1310
17552,Acta Neuropathologica,2804
19736,Indian Journal of Pathology and Microbiology,2734
23363,Canadian Journal of Physiology and Pharmacology,1314
130116,Theoretical Biology and Medical Modelling,2611
29975,Current Opinion in Organ Transplantation,2747
14144,Experimental and Clinical Psychopharmacology,3004
93433,Southern African Journal of HIV Medicine,2725
19700187806,Journal of Child and Adolescent Trauma,2706
16901,Biological Trace Element Research,2712
4000149001,Cancer Imaging,3614
21100369168,Synergy,1312
5300152705,General Thoracic and Cardiovascular Surgery,2705
21100241668,Pathogens and Disease,2400
4700152433,Current Nutrition and Food Science,2916
4500151518,Women's Health,2700
18138,Sociology of Health and Illness,2719
6400153118,Journal of Ultrasound,2724
14874,Child's Nervous System,2735
18831,Scandinavian Journal of Primary Health Care,2739
25612,International Journal of Computerized Dentistry,1706
23069,Clinical and Experimental Hypertension,1314
19700180534,"Interdisciplinary sciences, computational life sciences",1706
29194,Journal of Aging Studies,2910
21807,Brazilian Journal of Infectious Diseases,2725
28122,Perspectives on Sexual and Reproductive Health,2739
19700166614,International Journal of Orthopaedic and Trauma Nursing,2902
14344,Brain Pathology,2800
21614,Interactive Cardiovascular and Thoracic Surgery,2746
5100155080,Neurotherapeutics,3004
12705,Fertility and Sterility,2743
21100242835,Journal of Environmental Health Science and Engineering,2739
13544,"Reproduction, Fertility and Development",1309
17022,Perspectives in Biology and Medicine,1207
27473,Annals of Behavioral Medicine,3200
22443,Journal of Medical Screening,2719
12697,International Journal of Obesity,2916
13867,Eye,1200
18578,Paediatric Respiratory Reviews,2735
19700182810,Patient Safety in Surgery,2732
12400154726,JAMS Journal of Acupuncture and Meridian Studies,2703
37369,Journal of Neurosurgery: Spine,2808
19700166518,International Journal of Mental Health Systems,2719
20934,"Sport, Education and Society",2732
17601,Journal of Clinical Biochemistry and Nutrition,1308
12100154836,Evidence-Based Communication Assessment and Intervention,3616
13371,HEC Forum,3306
22415,American Journal of Cardiology,2705
19700166506,Tobacco Induced Diseases,2739
5100152905,Clinical Neuropsychiatry,2738
15113,Journal of Pediatric and Adolescent Gynecology,2735
145480,Environmental Health: A Global Access Science Source,2307
6200180182,Chinese Journal of Tissue Engineering Research,2732
17700155032,Cancer Epidemiology,1306
19700183041,"Journal of Emergencies, Trauma and Shock",2711
22041,Emotional and Behavioural Difficulties,2738
20529,British Journal of Neurosurgery,2728
3100147501,Clinical Research in Cardiology,2705
15313,Suicide and Life-Threatening Behavior,2738
4500151524,Acta Ortopedica Brasileira,2732
21100286991,Journal of Eye Movement Research,2731
19400157005,Journal of Hard Tissue Biology,2732
14297,Operative Techniques in Otolaryngology - Head and Neck Surgery,2733
17876,Radiotherapy and Oncology,2720
6000195380,Regenerative Medicine,2710
21945,Substance Use and Misuse,2739
25297,Journal of Hepatology,2721
21100316001,Journal of Biomedical Semantics,1706
23377,Chemical Senses,2737
24245,Journal of the American Academy of Dermatology,2708
23590,Science and Engineering Ethics,2910
15931,"Journal of Health Politics, Policy and Law",2719
16761,Journal of Neuropathology and Experimental Neurology,2808
23109,Journal of Psychopharmacology,3004
22420,American Journal of Hypertension,2724
21100211738,European Journal of Preventive Cardiology,2713
21100329893,Advances in School Mental Health Promotion,3204
21100255350,Journal of Forensic Practice,3308
19700201534,Beneficial microbes,2404
20051,BioDrugs,3004
22531,Cardiology in the Young,2735
6000195391,International Journal of Laboratory Hematology,2704
21948,Regional Anesthesia and Pain Medicine,2703
21100237425,Systematic Reviews,2701
19616,Australian Journal of Rural Health,2714
20100195034,Journal of Neurogastroenterology and Motility,2728
21744,Planta Medica,3002
20831,Indian Journal of Medical Microbiology,2726
21100286809,Policy and Practice in Health and Safety,3311
11200153559,Nordic Journal of Music Therapy,2921
24213,Acta Dermato-Venereologica,2708
20552,Progress in Cardiovascular Diseases,2705
21044,Cochlear Implants International,2733
21100225613,Human gene therapy methods,2402
16249,Journal of Behavior Therapy and Experimental Psychiatry,1201
21100209502,Journal of Pharmacology and Pharmacotherapeutics,2736
18100,Nordic Journal of Psychiatry,2738
21100200604,Workplace Health and Safety,2739
29930,Journal of Cancer Research and Clinical Oncology,2730
16816,Journal of Psychiatry and Neuroscience,2803
12054,Arts in Psychotherapy,3601
19700185200,Journal of Natural Medicines,2707
6400153108,Artery Research,2702
24001,Pathophysiology,2737
22144,Genetic Counseling,2716
19928,Transcultural Psychiatry,3306
21787,American Journal of Tropical Medicine and Hygiene,2406
22083,Cytokine,1303
14500154702,Journal of Cardiovascular Translational Research,1311
19386,Seminars in Pediatric Neurology,2735
18458,European Respiratory Journal,2740
26779,Artificial Organs,2502
24456,Child Development,3304
28652,Clinical Gerontologist,2909
3200147836,Norsk Epidemiologi,2713
17500154705,Global Health Action,2719
18004,American Journal of Respiratory Cell and Molecular Biology,1312
19660,"Comparative Immunology, Microbiology and Infectious Diseases",2725
13070,Spine Journal,2728
21100397361,"BMC Sports Science, Medicine and Rehabilitation",2732
19700175164,Frontiers in Human Neuroscience,3206
15896,Journal of Epidemiology and Community Health,2713
5800207390,The Clinical Supervisor,3304
26656,Journal of Internal Medicine,2724
21244,International Archives of Allergy and Immunology,2403
21907,Journal of Anaesthesiology Clinical Pharmacology,2703
21100314711,Translational Andrology and Urology,2743
4700152433,Current Nutrition and Food Science,1106
15027,Hong Kong Journal of Paediatrics,2735
21100829270,Journal of Medical Imaging,2741
12400,APMIS,2726
12309,Journal of Social Work Practice,2709
21100370879,Journal of managed care & specialty pharmacy,3611
21707,Journal of Neurosurgical Sciences,2746
21100241213,Journal of the International Association of Providers of AIDS Care,2403
20474,Prostate,2730
21100254353,New Bioethics,2743
19400157005,Journal of Hard Tissue Biology,2701
25728,Aging Male,2717
500147005,Maternal and Child Nutrition,2739
20443,American Journal of Transplantation,2723
130123,Hemodialysis International,2720
20041,Neurourology and Urodynamics,2728
5800179605,Journal of Cardiothoracic Surgery,2746
144801,Journal of Psychotherapy Integration,2738
14112,Rehabilitation Psychology,3203
144680,Reproductive Health,2729
18300156732,International Perspectives on Sexual and Reproductive Health,3317
19841,Social Psychiatry and Psychiatric Epidemiology,2713
18800156706,Molecular Medicine Reports,2730
28612,Canadian Journal on Aging/La Revue canadienne du vieillissment/Canadian Public Policy/Analyse de Politiques,2909
4700152490,Computer-Assisted Radiology and Surgery,2741
14313,Bipolar Disorders,2738
12795,Perception,2809
19757,International Journal of Antimicrobial Agents,2736
18728,"Psychiatry, Psychology and Law",3308
14869,International Forum of Psychoanalysis,3203
27775,Legal Medicine,2910
23056,Journal of Oncology Pharmacy Practice,2736
14018,Human Movement Science,2732
17500155127,Sleep Medicine Clinics,2738
15190,Acta Orthopaedica Belgica,2732
13343,Nutrition Research,2916
21100327124,Journal of primary care & community health,2905
19700188334,Clinical and Experimental Neuroimmunology,2728
22072,Current Gene Therapy,1311
19700166401,Circulation: Cardiovascular Quality and Outcomes,2705
20340,Parasitology Research,2725
30004,Health Information and Libraries Journal,3605
25949,Experimental Hematology,2720
20723,Clinical and Experimental Allergy,2723
21744,Planta Medica,1605
16726,Journal of Intellectual Disability Research,2728
28586,BioMedical Engineering Online,2741
15664,Functional Neurology,2800
21100202146,Journal of Obsessive-Compulsive and Related Disorders,3203
93180,Organogenesis,2747
12681,"European Journal of Obstetrics, Gynecology and Reproductive Biology",2729
26678,Pituitary,2712
15514,Epilepsy Research,2728
24294,Clinical and Experimental Dermatology,2708
4700152489,Targeted Oncology,1306
28652,Clinical Gerontologist,2717
19700188148,Footwear Science,2732
17037,Physica Medica,3100
70201,Clinical Neuropsychologist,3204
30824,Foot and Ankle International,2732
20340,Parasitology Research,3400
19700166402,Circulation: Cardiovascular Interventions,2705
21100243801,Multisensory research,2731
23880,Journal of Interventional Cardiology,2741
27525,International Urogynecology Journal and Pelvic Floor Dysfunction,2729
21100199786,International Neurourology Journal,2808
25467,"Blood Cells, Molecules, and Diseases",1313
16317,Clinical Rehabilitation,2742
21100459104,Experimental Hematology and Oncology,2720
19085,Sarcoidosis Vasculitis and Diffuse Lung Diseases,2724
4400151523,Clinical Practice and Epidemiology in Mental Health,2738
16072,Harvard Review of Psychiatry,2738
22380,International Journal of Infectious Diseases,2725
18730,Psychiatry Research - Neuroimaging,2801
15006,European Journal of Pediatrics,2735
19700183129,Clinical Medicine Insights: Pathology,2734
19160,Best Practice and Research in Clinical Rheumatology,2745
14839,Bioelectromagnetics,1314
21100390407,Journal of Biomedical Physics and Engineering,2741
24340,Dermatologic Therapy,2708
15721,Pediatric Diabetes,2724
12717,Journal of Nutrition Education and Behavior,2701
110320,"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics",1311
19700201171,Surgical Neurology International,2728
25913,Clinical Hemorheology and Microcirculation,2737
19686,Epidemiology and Infection,2713
18886,Sexuality and Disability,3612
29285,Journal of Vocational Rehabilitation,3609
23109,Journal of Psychopharmacology,2736
17600155059,Cancer cytopathology,2730
14566,American Journal of Speech-Language Pathology,3310
25655,Journal of Adolescence,3207
13217,European Journal of Health Economics,2001
21100367530,Acta neuropathologica communications,2804
19186,Clinical and Experimental Rheumatology,2723
18627,Respiration; international review of thoracic diseases,2740
21100235822,International Journal of Developmental Disabilities,2738
19700175088,Annals of Pediatric Cardiology,2735
20737,Clinical and Molecular Allergy,1312
78905,Research and Practice for Persons with Severe Disabilities,2739
13679,Ear and Hearing,3616
12574,Journal of Radiological Protection,2311
21100207639,Diabetes and Metabolism Journal,2712
29495,International Journal of Biological Markers,1308
28251,BMC Gastroenterology,2715
11700154353,European Journal of Physical and Rehabilitation Medicine,3612
14958,Criminal Behaviour and Mental Health,3201
18712,Psychiatry and Clinical Neurosciences,2738
29976,Journal of the American College of Nutrition,2916
21100254353,New Bioethics,2716
16986,Pathology International,2734
17109,The Linacre quarterly,2719
19700181403,Pharmaceutical Outsourcing,3003
19700188350,International Journal of Preventive Medicine,2739
19678,Diagnostic Microbiology and Infectious Disease,2726
21100283369,VirusDisease,2725
19700174946,Iranian Journal of Radiology,2741
19935,International Journal of Urology,2748
13945,Investigative Ophthalmology and Visual Science,2804
21100790932,Current Research in Nutrition and Food Science,1106
20135,Cadernos de Saude Publica,2739
10600153347,Brain Imaging and Behavior,2738
17876,Radiotherapy and Oncology,2741
26691,Netherlands Journal of Medicine,2724
4000151808,PLoS Genetics,1311
29712,Clinical Therapeutics,3004
144798,High Blood Pressure and Cardiovascular Prevention,2705
14352,Brain Topography,3614
21100416147,Reproductive Biomedicine and Society Online,3306
18403,Apoptosis : an international journal on programmed cell death,3003
12708,Fetal Diagnosis and Therapy,2735
20530,British Journal of Oral and Maxillofacial Surgery,2733
20530,British Journal of Oral and Maxillofacial Surgery,3504
4700152825,Obesity,2916
21100211738,European Journal of Preventive Cardiology,2705
5700191211,World Journal of Emergency Surgery,2746
25229,American Journal of Drug and Alcohol Abuse,3203
144977,Homicide Studies,3308
19181,Psychotherapy and Psychosomatics,2738
19900194500,Practical Radiation Oncology,2730
24246,American Journal of Clinical Dermatology,2708
21100242232,Healthcare Informatics Research,3605
20920,Microscopy Research and Technique,2702
19417,Clinical and Experimental Nephrology,2727
26709,Seminars in Reproductive Medicine,2737
21100209502,Journal of Pharmacology and Pharmacotherapeutics,3004
29100,Cancer Control,2730
22163,Pediatric Surgery International,2746
20483,Annals of Plastic Surgery,2746
11400153317,Tissue Engineering - Part C: Methods,2701
12385,International Journal of Industrial Ergonomics,3307
26906,Advances in Anatomic Pathology,2734
25027,European journal of paediatric dentistry : official journal of European Academy of Paediatric Dentistry,3500
21100427224,"Speech, Language and Hearing",3616
19768,Rheumatic Disease Clinics of North America,2745
22581,Circulation,2705
26698,Reproductive Biology and Endocrinology,1310
21100200427,Human Vaccines and Immunotherapeutics,3004
26032,Endocrine Practice,2712
28001,The Journal of the Association of Physicians of India,2700
23825,Journal of Atherosclerosis and Thrombosis,2704
19560,Stress,2807
16860,The Lancet Neurology,2728
6200180159,World Psychiatry,2921
15104,Journal of Developmental and Behavioral Pediatrics,3204
14224,Arquivos de Neuro-Psiquiatria,2803
12697,International Journal of Obesity,2712
20228,Emerging Infectious Diseases,2726
19700166901,Fungal Biology,1110
28582,Biogerontology,2717
28302,Digestive Endoscopy,2715
16705,Journal of Emotional and Behavioral Disorders,2738
28652,Clinical Gerontologist,3203
13783,Journal of Voice,3616
7200153146,Annals of Cardiac Anaesthesia,2703
11700154316,CNS Neuroscience and Therapeutics,2737
24857,Journal of Cutaneous Pathology,2708
20700195025,Journal of Clinical and Experimental Hepatology,2721
23884,Journal of Stroke and Cerebrovascular Diseases,2728
21100202150,Operations Research for Health Care,3504
15623,Human Reproduction Update,2743
21100459267,Journal of Adolescent and Young Adult Oncology,2735
11700154364,Alter,2739
19700182045,Case Reports in Oncology,2730
5400152704,Contrast Media and Molecular Imaging,2741
19600157748,Ansiedad y Estres,3207
18730,Psychiatry Research - Neuroimaging,2738
500147006,Child and Adolescent Mental Health,2735
19900192104,Cardiology Research and Practice,2705
25214,Toxicologic Pathology,1312
21677,American Journal of Human Genetics,2716
23382,Clinical and Experimental Pharmacology and Physiology,2737
13051,Education for Primary Care,2739
18497,Connective Tissue Research,2732
4000151904,Palliative and Supportive Care,2900
14863,Biorheology,1314
22552,Cardiovascular Drugs and Therapy,2736
24898,Pediatric Dermatology,2735
6400153111,Journal of Ethnobiology and Ethnomedicine,1100
21123,Pharmaceutical Research,3004
29696,European Journal of Orthopaedic Surgery and Traumatology,2746
23710,Journal of Medical Systems,2701
16500154708,Annals of Physical and Rehabilitation Medicine,2732
5800173385,Recent Patents on Anti-Cancer Drug Discovery,2730
19700182119,"Pediatric, Allergy, Immunology, and Pulmonology",2740
5000158601,Journal of Pediatric Neurology,2728
22434,International Journal of Clinical Pharmacology and Therapeutics,3004
21100199857,Annals of Laboratory Medicine,2704
15518,Epileptic Disorders,2808
12646,Pathology and Oncology Research,2730
14236,"Culture, Health and Sexuality",2739
20559,Progress in Pediatric Cardiology,2705
19062,Respirology,2740
10600153347,Brain Imaging and Behavior,2808
18001,Neuropsychobiology,2803
26119,Hormone and Metabolic Research,1310
13904,Graefe's Archive for Clinical and Experimental Ophthalmology,2731
15755,Pediatric Transplantation,2735
20920,Microscopy Research and Technique,3607
20412,Acta Neurochirurgica,2728
15071,International Journal of Adolescent Medicine and Health,2735
13069,Psycho-Oncology,3205
19849,Current Opinion in Nephrology and Hypertension,2724
16704,Journal of ECT,2801
33648,Neurorehabilitation and Neural Repair,2728
16002,Journal of Postgraduate Medicine,2700
21707,Journal of Neurosurgical Sciences,2728
14360,Rhinology,2733
5700191213,Orphanet Journal of Rare Diseases,2716
21906,Journal of Public Health Policy,2719
22384,International Journal of STD and AIDS,2739
17500155127,Sleep Medicine Clinics,3203
28047,Australasian Physical and Engineering Sciences in Medicine,2741
19700174630,Journal of the Intensive Care Society,2706
22848,Orthodontics and Craniofacial Research,3505
19243,Lupus,2745
24635,European Journal of Contraception and Reproductive Health Care,2743
22490,Blood Pressure,2724
22338,Hospital Pharmacy,3004
17700155407,Journal of Infection in Developing Countries,2406
13165,Erciyes Tip Dergisi,2700
5400152623,International Journal of Men's Health,2739
19700188419,Cancers,2730
21100201916,Pediatric obesity,2719
18446,Cell and Tissue Research,2722
21100239606,Therapeutic Innovation and Regulatory Science,2739
20856,West Indian Medical Journal,2700
15989,Journal of Palliative Medicine,2900
14604,Ophthalmic and Physiological Optics,2731
21872,Eurosurveillance,2713
21100197941,International Journal for Parasitology: Drugs and Drug Resistance,2405
21100211114,Music Therapy Perspectives,2707
27660,Maturitas,2729
25545,Diabetes Technology and Therapeutics,1310
17461,European Journal of Histochemistry,1307
12392,Lymphatic Research and Biology,2705
19841,Social Psychiatry and Psychiatric Epidemiology,3306
7000153203,Journal of Studies on Alcohol and Drugs,2738
13544,"Reproduction, Fertility and Development",1103
14678,Infectious Diseases in Clinical Practice,2726
21100217607,International Journal of MS Care,2728
26661,"Journal of Nutrition, Health and Aging",2701
29473,American Journal of Psychoanalysis,3203
9600153101,Medicine,2700
13068,Spine,2728
28010,Molecular Human Reproduction,1309
27043,American Family Physician,2714
17551,Acta Neurologica Taiwanica,2728
21100248023,CPT: Pharmacometrics and Systems Pharmacology,2736
4800153203,"Allergy, Asthma and Clinical Immunology",2740
28025,Gait and Posture,2732
21087,Digestive Surgery,2715
20514,Seminars in Dialysis,2727
11000153729,Professional Case Management,2719
5800173385,Recent Patents on Anti-Cancer Drug Discovery,1306
5800179585,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,3501
19200157024,Revista Latinoamericana de Psicopatologia Fundamental,3203
18153,Pain Research and Management,2703
17500155129,PET Clinics,3108
23706,Journal of Biomedical Informatics,1706
21100265182,Mental Health and Prevention,2738
22130,Obesity Surgery,2916
25231,American Journal on Addictions,3203
24456,Child Development,2735
22441,Angiology,2705
21786,American Journal of Infection Control,2719
20558,Urology,2748
19700188334,Clinical and Experimental Neuroimmunology,2801
99014,Critical Public Health,2739
19600166318,Current Aging Science,1302
21100238667,Monoclonal Antibodies in Immunodiagnosis and Immunotherapy,2403
5300152705,General Thoracic and Cardiovascular Surgery,2740
3500148004,Cellular and Molecular Immunology,2725
23985,Neurobiology of Aging,2717
11700154623,Pediatric Rheumatology,2735
22338,Hospital Pharmacy,2736
4000148817,"Journal of Plastic, Reconstructive and Aesthetic Surgery",2746
21100349562,Aging and Disease,2717
17241,Journal of Ultrasound in Medicine,2741
19950,Journal of Nephrology,2727
19961,Molecular Medicine,1313
145442,Journal of Indian Association of Pediatric Surgeons,2746
25313,Journal of Child and Adolescent Substance Abuse,3304
19700182025,Stem Cells and Cloning: Advances and Applications,1307
500147005,Maternal and Child Nutrition,2735
15721,Pediatric Diabetes,2712
21206,Nature,1000
4000148109,Breast Care,2746
20082,British Journal of Clinical Pharmacology,2736
29901,International Journal of Hyperthermia,1314
14112,Rehabilitation Psychology,3612
19240,Journal of Rheumatology,2745
28747,BMC Cancer,2730
15300154846,Journal of Occupational Medicine and Toxicology,2739
29801,Injury,2711
19400158590,Journal of Neurodevelopmental Disorders,2728
7100153108,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,2746
23019,Prevention Science,2739
14892,International Journal of Mental Health,2719
21100464901,Neurophotonics,2741
12100154911,Anatomical Sciences Education,2722
22087,Theoretical Criminology,3308
21100274755,Advances in Integrative Medicine,2707
17223,Journal of Digital Imaging,1706
14742,International Journal of Circumpolar Health,2739
21100248023,CPT: Pharmacometrics and Systems Pharmacology,2611
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",3003
13710,Disability and Rehabilitation,2742
13383,Health Care Management Science,2701
22130,Obesity Surgery,2712
7600153124,Journal of Hunger and Environmental Nutrition,2916
18800156706,Molecular Medicine Reports,1306
19700200725,North American Journal of Medical Sciences,2700
13223,European Review for Medical and Pharmacological Sciences,2736
26034,Endocrine Regulations,1310
25263,Reviews on Environmental Health,3306
26915,Advances in Therapy,2736
13741,International Journal of Pediatric Otorhinolaryngology,2733
29551,Bone,2712
21128,European Journal of Plastic Surgery,2746
130020,International Journal of Medical Sciences,2700
19700175086,"Drug, Healthcare and Patient Safety",3004
21100468501,Open Forum Infectious Diseases,2730
22619,Revue d'Epidemiologie et de Sante Publique,2739
19700174984,Revista Portuguesa de Imunoalergologia,2723
21100255391,Acta Phlebologica,2705
29070,The Gerontologist,2717
16244,"Journal of Law, Medicine and Ethics",2910
13543,Reproduction,2729
24786,Alcohol and Alcoholism,2738
21217,Homeopathy,2707
22522,Cardiology,2705
6300153105,Current Opinion in HIV and AIDS,2725
22284,Seminars in Thoracic and Cardiovascular Surgery,2705
20024,Australian Prescriber,2736
22456,International Journal of Pharmacy Practice,3003
15106,Journal of Inherited Metabolic Disease,1311
18403,Apoptosis : an international journal on programmed cell death,1308
28298,Digestive and Liver Disease,2721
18619,Practical Neurology,2728
12841,Clinical Child and Family Psychology Review,3204
21892,Journal of Behavioral Health Services and Research,3306
6400153111,Journal of Ethnobiology and Ethnomedicine,3306
21100464658,Journal of innovation in health informatics,1706
14026,Human Resources for Health,2739
21100229105,Revista Brasileira de Terapia Intensiva,2706
144616,"Journal of Health, Organisation and Management",2719
20526,Pediatric Cardiology,2735
21100215107,Frontiers in Physiology,1314
23932,Analytical Letters,1602
19916,Research in Sports Medicine,3612
16812,Journal of Psychiatric Research,2738
3900148612,Journal of Clinical Sleep Medicine,2808
20618,Stroke,2902
13035,Annals of Human Biology,1302
29075,Cambridge Quarterly of Healthcare Ethics,3306
21100243801,Multisensory research,2805
18001,Neuropsychobiology,3206
20190,Allergy and Asthma Proceedings,2723
26000,Journal of Thrombosis and Haemostasis,2720
21100433120,Microbiology spectrum,2400
5200153105,Zoonoses and Public Health,3400
14255,Autonomic Neuroscience: Basic and Clinical,2728
16757,"Journal of Neurology, Neurosurgery and Psychiatry",2728
15872,Journal of Clinical Monitoring and Computing,2703
23035,Journal of Biopharmaceutical Statistics,3004
3500148004,Cellular and Molecular Immunology,2723
11600153409,Malaysian Family Physician,2905
29199,Industrial Health,2739
20528,Perfusion,2705
13345,Nutrition Reviews,2701
28770,British Journal of Cancer,1306
21100420802,GigaScience,1706
5700191208,Journal of Clinical Lipidology,2705
22350,Infectious Disease Clinics of North America,2726
29882,Journal of Child Sexual Abuse,2735
22487,BMC Cardiovascular Disorders,2705
13121,Seminars in Radiation Oncology,2730
15460,Eating and Weight Disorders,2738
12100154708,Expert Review of Gastroenterology and Hepatology,2721
12042,Legal and Criminological Psychology,2734
18922,Journal of Gene Medicine,1312
21392,Yonsei Medical Journal,2700
13823,Noise and Health,2733
17893,Seminars in Musculoskeletal Radiology,2732
19700174982,Tanaffos,2740
21100205998,Pathogens and Global Health,2739
21100201775,Arthroscopy Techniques,2732
25465,Current Diabetes Reports,2712
24469,Child Maltreatment,3204
30078,American Journal of Obstetrics and Gynecology,2729
4000151808,PLoS Genetics,1105
21100324708,AJOB Empirical Bioethics,3306
26035,Endocrine-Related Cancer,2712
16200,International Psychogeriatrics,2738
14317,Brain,2728
144804,Acta Orthopaedica,2732
20740,Clinical Immunology,2403
19700188233,Journal of Plastic Surgery and Hand Surgery,2746
19400157233,Circulation: Heart Failure,2705
12000154405,Hepatology International,2721
4000148207,Health Promotion Journal of Australia,2905
15900,Journal of Extra-Corporeal Technology,2705
4400151515,Molecular Pain,1313
13921,High Altitude Medicine and Biology,1314
12464,Nature Reviews Cancer,2730
23932,Analytical Letters,1308
26890,Health Reports,2739
19600161903,Molecular Oral Microbiology,3500
