"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"21100228130","International Journal for Parasitology: Parasites and Wildlife",3.03,5,"2.89","0.39","21.55","0.300",5,"2.89","0.39","21.55","0.339",1,1,1,0,2,"Infectious Diseases"
"14737","International Journal of Artificial Organs",1.05,3,"1.73","0.11","27.89","0.698",3,"1.73","0.11","27.89","0.999",0,0,0,1,2,"Medicine (miscellaneous)"
"14875","International Journal of Behavioral Nutrition and Physical Activity",4.95,35,"1.39","0.66","2.94","0.384",35,"1.39","0.66","2.94","0.585",0,13,10,8,10,"Medicine (miscellaneous)"
"29873","International Journal of Cancer",5.93,8,"2.17","0.51","9.12","0.292",8,"2.17","0.51","9.12","0.263",2,1,3,1,1,"Oncology"
"23774","International Journal of Cardiology",2.13,32,"0.53","0.17","1.65","0.274",32,"0.53","0.17","1.65","0.350",25,17,5,0,0,"Cardiology and Cardiovascular Medicine"
"19700182275","International Journal of Clinical Pharmacy",1.79,3,"0.27","0.02","4.62","0.369",3,"0.27","0.02","4.62","0.368",0,1,2,0,1,"Pharmacology (medical)"
"14745","International Journal of Clinical Practice",1.91,19,"1.37","0.44","4.24","0.588",19,"1.37","0.44","4.24","0.396",18,7,7,7,7,"Medicine (all)"
"6200180178","International Journal of COPD",3.24,11,"1.38","0.37","5.15","0.631",11,"1.38","0.37","5.15","0.918",0,0,2,10,0,"Health Policy; Public, Environmental, and Occupational Health; Pulmonary and Respiratory Medicine"
"29499","International Journal of Developmental Biology",1.98,11,"0.76","0.14","4.05","0.746",11,"0.76","0.14","4.05","0.698",4,4,0,1,3,"Embryology"
"25290","International Journal of Drug Policy",2.77,27,"1.24","0.53","2.89","0.614",27,"1.24","0.53","2.89","0.893",8,10,18,0,0,"Health Policy; Medicine (miscellaneous)"
"12675","International Journal of Eating Disorders",3.74,9,"1.25","0.20","7.82","0.812",9,"1.25","0.20","7.82","0.337",2,0,1,1,5,"Psychiatry and Mental Health"
"144989","International Journal of Environmental Research and Public Health",2.38,16,"1.16","0.38","3.55","0.793",16,"1.16","0.38","3.55","0.859",0,3,11,3,5,"Public, Environmental, and Occupational Health"
"14750","International Journal of Epidemiology",4.83,115,"0.82","0.55","1.23","0.339",115,"0.82","0.55","1.23","0.872",48,39,42,35,12,"Epidemiology"
"21100208035","International Journal of Forensic Mental Health",1.43,3,"1.78","0.16","19.98","0.640",3,"1.78","0.16","19.98","1.000",0,0,0,0,3,"Pathology and Forensic Medicine; Psychiatry and Mental Health"
"27518","International Journal of Gynecological Cancer",2.09,3,"0.79","0.06","10.72","0.858",3,"0.79","0.06","10.72","0.480",0,3,0,0,0,"Obstetrics and Gynecology; Oncology"
"27521","International Journal of Gynecology and Obstetrics",1.59,10,"0.55","0.13","2.27","0.409",10,"0.55","0.13","2.27","0.548",6,2,2,5,0,"Obstetrics and Gynecology"
"21100787828","International Journal of Health Policy and Management",0.52,9,"0.33","0.06","1.69","0.182",9,"0.33","0.06","1.69","0.138",2,3,2,1,4,"Health Policy"
"21465","International Journal of Health Services",1.35,3,"1.47","0.13","16.99","0.756",3,"1.47","0.13","16.99","1.000",1,1,0,0,1,"Health Policy"
"25997","International Journal of Hematology",1.47,9,"0.34","0.04","2.89","0.322",9,"0.34","0.04","2.89","0.438",2,2,2,2,2,"Hematology"
"21466","International Journal of Hygiene and Environmental Health",4.22,14,"1.31","0.42","4.10","0.642",14,"1.31","0.42","4.10","0.928",1,2,1,7,5,"Public, Environmental, and Occupational Health"
"29901","International Journal of Hyperthermia",3.7,12,"2.06","0.52","8.17","0.302",12,"2.06","0.52","8.17","0.343",5,1,2,2,5,"Physiology (medical)"
"6000195391","International Journal of Laboratory Hematology",1.49,3,"2.19","0.19","25.62","0.533",3,"2.19","0.19","25.62","0.985",0,2,1,0,0,"Biochemistry, Medical; Hematology"
"27753","International Journal of Legal Medicine",2.2,12,"0.20","0.02","1.69","0.141",12,"0.20","0.02","1.69","0.193",2,5,4,0,3,"Pathology and Forensic Medicine"
"23689","International Journal of Medical Informatics",3.7,2,"4.47","0.28","71.81","0.290",2,"4.47","0.28","71.81","1.000",2,0,0,0,0,"Health Informatics"
"22383","International Journal of Medical Microbiology",3.65,9,"0.46","0.08","2.49","0.367",9,"0.46","0.08","2.49","0.651",2,4,2,1,0,"Infectious Diseases; Microbiology (medical)"
"19700166518","International Journal of Mental Health Systems",1.84,9,"0.46","0.07","2.97","0.416",9,"0.46","0.07","2.97","0.293",0,6,0,2,4,"Health Policy; Psychiatry and Mental Health; Public, Environmental, and Occupational Health"
"16153","International Journal of Methods in Psychiatric Research",3,5,"0.28","0.03","3.09","0.301",5,"0.28","0.03","3.09","0.202",6,2,0,0,1,"Psychiatry and Mental Health"
"21100217607","International Journal of MS Care",1.26,4,"2.68","0.19","38.25","0.467",4,"2.68","0.19","38.25","0.931",0,4,0,1,0,"Clinical Neurology"
"22452","International Journal of Neuropsychopharmacology",2.95,9,"1.03","0.24","4.35","0.971",9,"1.03","0.24","4.35","0.615",2,3,1,1,2,"Pharmacology (medical); Psychiatry and Mental Health"
"12697","International Journal of Obesity",5.18,16,"2.18","0.73","6.51","0.161",16,"2.18","0.73","6.51","0.326",2,3,6,3,3,"Endocrinology, Diabetes, and Metabolism; Medicine (miscellaneous)"
"22456","International Journal of Pharmacy Practice",1.08,3,"3.24","0.29","36.63","0.343",3,"3.24","0.29","36.63","0.998",0,1,1,0,1,"Health Policy; Public, Environmental, and Occupational Health"
"19700188350","International Journal of Preventive Medicine",1.62,2,"2.83","0.17","47.15","0.469",2,"2.83","0.17","47.15","1.000",2,0,0,0,0,"Public, Environmental, and Occupational Health"
"14902","International Journal of Psychophysiology",2.82,21,"1.10","0.40","3.05","0.856",21,"1.10","0.40","3.05","0.731",10,3,13,0,0,"Physiology (medical)"
"5300152615","International Journal of Public Health",2.44,13,"1.02","0.28","3.65","0.980",13,"1.02","0.28","3.65","0.874",4,5,2,4,1,"Public, Environmental, and Occupational Health"
"29904","International Journal of Radiation Biology",1.84,15,"1.60","0.51","5.08","0.422",15,"1.60","0.51","5.08","0.325",2,4,0,1,13,"Radiology Nuclear Medicine and Imaging"
"17191","International Journal of Radiation Oncology Biology Physics",3.42,112,"0.79","0.49","1.27","0.332",112,"0.79","0.49","1.27","0.234",31,25,13,19,38,"Oncology; Radiology Nuclear Medicine and Imaging"
"12400154749","International Journal of Rheumatic Diseases",1.32,13,"0.76","0.21","2.68","0.665",13,"0.76","0.21","2.68","0.506",2,2,4,4,1,"Rheumatology"
"14000155897","International Journal of Speech-Language Pathology",1.26,21,"1.56","0.48","5.07","0.462",21,"1.56","0.48","5.07","0.270",9,13,1,1,1,"Otorhinolaryngology"
"40900","International Journal of Sport Nutrition and Exercise Metabolism",2.15,5,"1.59","0.13","19.38","0.714",5,"1.59","0.13","19.38","0.572",0,5,0,0,0,"Medicine (miscellaneous); Orthopedics and Sports Medicine"
"19864","International Journal of Sports Medicine",2.2,3,"1.26","0.08","20.24","0.868",3,"1.26","0.08","20.24","1.000",3,0,0,0,0,"Orthopedics and Sports Medicine"
"14000156196","International Journal of Sports Physiology and Performance",2.67,8,"2.11","0.21","20.77","0.521",8,"2.11","0.21","20.77","0.313",0,4,3,0,1,"Orthopedics and Sports Medicine"
"18502","International Journal of Tuberculosis and Lung Disease",1.83,42,"0.60","0.28","1.28","0.185",42,"0.60","0.28","1.28","0.210",10,13,12,8,12,"Infectious Diseases; Pulmonary and Respiratory Medicine"
"19935","International Journal of Urology",1.15,165,"0.25","0.11","0.58","0.001",165,"0.25","0.11","0.58","0.001",63,62,60,44,28,"Urology"
"29817","International Orthopaedics",2.37,25,"0.36","0.04","2.95","0.338",25,"0.36","0.04","2.95","0.411",2,12,4,4,14,"Orthopedics and Sports Medicine"
"16200","International Psychogeriatrics",2.02,21,"0.59","0.22","1.59","0.294",21,"0.59","0.22","1.59","0.236",2,7,8,5,5,"Geriatrics and Gerontology; Psychiatry and Mental Health"
"16203","International Review of Psychiatry",2.53,6,"0.73","0.08","6.69","0.782",6,"0.73","0.08","6.69","0.748",0,0,0,2,5,"Psychiatry and Mental Health"
"27525","International Urogynecology Journal and Pelvic Floor Dysfunction",1.62,29,"0.31","0.11","0.82","0.019",29,"0.31","0.11","0.82","0.045",12,11,6,5,4,"Obstetrics and Gynecology; Urology"
"500147003","International Wound Journal",1.79,8,"0.65","0.11","3.85","0.635",8,"0.65","0.11","3.85","0.554",1,1,3,5,2,"Dermatology; Surgery"
"13945","Investigative Ophthalmology and Visual Science",3.21,80,"0.56","0.31","1.03","0.062",80,"0.56","0.31","1.03","0.118",15,26,23,20,11,"Ophthalmology"
"16221","Irish Journal of Psychological Medicine",0.12,2,"0.73","0.04","12.93","0.831",2,"0.73","0.04","12.93","1.000",0,1,0,0,2,"Psychiatry and Mental Health"
"21100338761","Israel Journal of Health Policy Research",0.89,61,"0.60","0.32","1.13","0.113",61,"0.60","0.32","1.13","0.215",13,10,14,14,15,"Health Policy; Public, Environmental, and Occupational Health"
"14044","Israel Medical Association Journal",0.81,43,"1.19","0.57","2.52","0.642",43,"1.19","0.57","2.52","0.672",12,15,12,10,7,"Medicine (all)"
"15076","Italian Journal of Pediatrics",1.75,12,"0.78","0.19","3.11","0.722",12,"0.78","0.19","3.11","0.190",2,1,5,3,1,"Pediatrics, Perinatology, and Child Health"
"11300153407","JACC: Cardiovascular Imaging",4.36,201,"0.65","0.41","1.02","0.058",201,"0.65","0.41","1.02","0.504",34,43,58,63,64,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"11300153408","JACC: Cardiovascular Interventions",4.35,256,"0.77","0.49","1.21","0.254",256,"0.77","0.49","1.21","0.674",22,45,78,134,130,"Cardiology and Cardiovascular Medicine"
"21100241219","JACC: Heart Failure",4.83,131,"0.90","0.54","1.50","0.684",131,"0.90","0.54","1.50","0.801",13,31,41,57,44,"Cardiology and Cardiovascular Medicine"
"85291","JAMA - Journal of the American Medical Association",6.67,367,"0.51","0.39","0.67","0.000",367,"0.51","0.39","0.67","0.016",91,88,96,108,112,"Medicine (all)"
"21100228537","JAMA Dermatology",1.98,72,"0.62","0.36","1.09","0.099",72,"0.62","0.36","1.09","0.185",19,17,24,20,14,"Dermatology"
"21100228730","JAMA Facial Plastic Surgery",1.61,19,"0.54","0.07","4.45","0.567",19,"0.54","0.07","4.45","0.144",1,0,6,14,11,"Surgery"
"21100228546","JAMA Internal Medicine",3.93,314,"0.81","0.62","1.05","0.114",314,"0.81","0.62","1.05","0.353",102,90,111,86,63,"Internal Medicine"
"21100228519","JAMA Neurology",5.1,157,"0.53","0.34","0.83","0.005",157,"0.53","0.34","0.83","0.021",20,28,32,62,47,"Clinical Neurology"
"21100420583","JAMA Oncology",3.02,129,"1.04","0.69","1.56","0.867",129,"1.04","0.69","1.56","0.244",0,0,50,61,33,"Oncology"
"21100228531","JAMA Ophthalmology",2.51,89,"1.13","0.71","1.82","0.604",89,"1.13","0.71","1.82","0.406",4,7,17,36,50,"Ophthalmology"
"21100228518","JAMA Otolaryngology - Head and Neck Surgery",2,40,"0.41","0.15","1.08","0.071",40,"0.41","0.15","1.08","0.160",7,4,1,14,21,"Otorhinolaryngology; Surgery"
"21100228540","JAMA Pediatrics",4.17,162,"0.81","0.57","1.15","0.247",162,"0.81","0.57","1.15","0.578",33,40,36,41,36,"Pediatrics, Perinatology, and Child Health"
"21100228547","JAMA Psychiatry",9.33,138,"0.60","0.40","0.92","0.018",138,"0.60","0.40","0.92","0.882",12,18,28,53,54,"Psychiatry and Mental Health"
"21100228543","JAMA Surgery",3.42,179,"0.75","0.50","1.14","0.176",179,"0.75","0.50","1.14","0.999",53,44,53,71,56,"Surgery"
"15096","Jornal de Pediatria",1.94,41,"0.34","0.14","0.82","0.016",41,"0.34","0.14","0.82","0.009",9,9,9,9,7,"Pediatrics, Perinatology, and Child Health"
"21100466864","Journal for ImmunoTherapy of Cancer",2.36,19,"0.90","0.29","2.77","0.858",19,"0.90","0.29","2.77","0.541",0,3,4,7,8,"Immunology and Allergy; Oncology"
"13265","Journal of AAPOS",1.07,9,"0.09","0.01","0.85","0.035",9,"0.09","0.01","0.85","0.295",4,2,2,1,2,"Ophthalmology; Pediatrics, Perinatology, and Child Health"
"15369","Journal of Abnormal Child Psychology",3.89,12,"0.50","0.14","1.70","0.263",12,"0.50","0.14","1.70","0.495",1,5,2,1,4,"Psychiatry and Mental Health"
"15300154823","Journal of Acquired Immune Deficiency Syndromes",3.2,17,"0.65","0.22","1.95","0.441",17,"0.65","0.22","1.95","0.213",4,14,0,0,1,"Infectious Diseases; Pharmacology (medical)"
"19200157106","Journal of Addiction Medicine",2.04,7,"0.62","0.12","3.22","0.570",7,"0.62","0.12","3.22","0.426",0,1,0,2,7,"Pharmacology (medical); Psychiatry and Mental Health"
"25655","Journal of Adolescence",2.42,3,"0.40","0.03","5.77","0.499",3,"0.40","0.03","5.77","0.301",2,1,0,0,0,"Pediatrics, Perinatology, and Child Health; Psychiatry and Mental Health"
"15357","Journal of Adolescent Health",3.83,76,"1.38","0.83","2.29","0.208",76,"1.38","0.83","2.29","0.242",28,17,13,18,19,"Pediatrics, Perinatology, and Child Health; Psychiatry and Mental Health; Public, Environmental, and Occupational Health"
"11700154735","Journal of Aerosol Medicine and Pulmonary Drug Delivery",2.33,3,"1.86","0.17","20.73","0.615",3,"1.86","0.17","20.73","0.808",0,2,0,1,0,"Pharmacology (medical); Pulmonary and Respiratory Medicine"
"29189","Journal of Aging and Health",2.25,5,"2.82","0.29","27.34","0.371",5,"2.82","0.29","27.34","0.360",0,8,0,0,0,"Geriatrics and Gerontology"
"29249","Journal of Agromedicine",0.72,4,"0.69","0.06","8.04","0.764",4,"0.69","0.06","8.04","0.852",0,0,4,0,5,"Public, Environmental, and Occupational Health"
"21267","Journal of Allergy and Clinical Immunology",6.87,129,"0.40","0.25","0.63","0.000",129,"0.40","0.25","0.63","0.002",40,33,31,35,23,"Immunology and Allergy"
"21100239250","Journal of Allergy and Clinical Immunology: In Practice",2.82,82,"0.48","0.28","0.82","0.008",82,"0.48","0.28","0.82","0.054",5,11,24,40,33,"Immunology and Allergy"
"38012","Journal of Alternative and Complementary Medicine",1.56,2,"0.62","0.04","9.89","0.733",2,"0.62","0.04","9.89","0.610",0,0,1,1,3,"Complementary and Alternative Medicine"
"16246","Journal of Alzheimer's Disease",3.62,18,"1.21","0.43","3.40","0.724",18,"1.21","0.43","3.40","0.778",1,3,10,4,6,"Geriatrics and Gerontology; Psychiatry and Mental Health"
"14138","Journal of Ambulatory Care Management",0.53,7,"0.74","0.13","4.32","0.740",7,"0.74","0.13","4.32","0.244",1,0,0,6,2,"Health Policy"
"21907","Journal of Anaesthesiology Clinical Pharmacology",0.88,10,"2.91","0.70","12.14","0.142",10,"2.91","0.70","12.14","0.244",5,3,3,1,3,"Anesthesiology and Pain Medicine; Pharmacology (medical)"
"29542","Journal of Anatomy",2.18,8,"2.29","0.49","10.82","0.295",8,"2.29","0.49","10.82","0.318",0,0,2,8,0,"Anatomy; Histology"
"21909","Journal of Anesthesia",1.13,8,"0.39","0.05","3.29","0.385",8,"0.39","0.05","3.29","0.647",1,1,2,2,3,"Anesthesiology and Pain Medicine"
"22418","Journal of Antimicrobial Chemotherapy",4.21,35,"0.71","0.30","1.67","0.432",35,"0.71","0.30","1.67","0.598",9,10,8,10,6,"Infectious Diseases; Pharmacology (medical)"
"27214","Journal of Applied Clinical Medical Physics",0.86,3,"2.03","0.17","23.63","0.573",3,"2.03","0.17","23.63","0.778",0,2,1,1,0,"Radiology Nuclear Medicine and Imaging"
"23454","Journal of Applied Physiology",2.75,132,"0.94","0.60","1.49","0.800",132,"0.94","0.60","1.49","0.588",47,42,32,28,15,"Physiology (medical)"
"23825","Journal of Atherosclerosis and Thrombosis",2.37,47,"0.24","0.07","0.84","0.026",47,"0.24","0.07","0.84","0.036",0,0,15,23,21,"Biochemistry, Medical; Cardiology and Cardiovascular Medicine; Internal Medicine"
"19871","Journal of Athletic Training",2.65,8,"2.35","0.53","10.50","0.263",8,"2.35","0.53","10.50","0.705",3,1,4,1,4,"Orthopedics and Sports Medicine"
"21100373947","Journal of Behavioral Addictions",3.58,20,"0.20","0.04","0.92","0.039",20,"0.20","0.04","0.92","0.061",0,0,10,1,11,"Medicine (miscellaneous); Psychiatry and Mental Health"
"21892","Journal of Behavioral Health Services and Research",1.4,2,"0.30","0.01","6.97","0.456",2,"0.30","0.01","6.97","1.000",1,3,0,0,0,"Health Policy; Public, Environmental, and Occupational Health"
"16664","Journal of Behavioral Medicine",2.59,5,"1.47","0.23","9.53","0.683",5,"1.47","0.23","9.53","0.953",0,1,2,1,2,"Psychiatry and Mental Health"
"4000148017","Journal of Bioethical Inquiry",0.64,10,"1.03","0.24","4.43","0.965",10,"1.03","0.24","4.43","0.756",3,2,1,3,4,"Health Policy"
"15846","Journal of Biomechanics",2.84,12,"2.85","0.70","11.63","0.144",12,"2.85","0.70","11.63","0.486",0,4,6,3,0,"Orthopedics and Sports Medicine; Rehabilitation"
"15849","Journal of Biomedical Science",2.96,3,"4.50","0.36","56.28","0.244",3,"4.50","0.36","56.28","0.998",2,0,0,0,1,"Biochemistry, Medical; Endocrinology, Diabetes, and Metabolism; Pharmacology (medical)"
"21100316001","Journal of Biomedical Semantics",2.26,11,"1.69","0.39","7.29","0.481",11,"1.69","0.39","7.29","0.485",5,3,1,2,1,"Health Informatics"
"12211","Journal of Bone and Mineral Research",5.48,44,"0.52","0.25","1.06","0.074",44,"0.52","0.25","1.06","0.216",13,11,6,10,8,"Endocrinology, Diabetes, and Metabolism; Orthopedics and Sports Medicine"
"17100154714","Journal of Breath Research",3.49,5,"0.79","0.08","7.61","0.836",5,"0.79","0.08","7.61","0.842",1,2,0,2,0,"Pulmonary and Respiratory Medicine"
"21100204914","Journal of Cachexia, Sarcopenia and Muscle",6.44,3,"1.16","0.10","13.20","0.907",3,"1.16","0.10","13.20","0.987",0,0,0,1,2,"Orthopedics and Sports Medicine; Physiology (medical)"
"29930","Journal of Cancer Research and Clinical Oncology",3.32,4,"6.27","0.87","45.38","0.069",4,"6.27","0.87","45.38","0.998",0,1,1,1,1,"Oncology"
"23826","Journal of Cardiac Failure",2.56,58,"0.64","0.28","1.45","0.286",58,"0.64","0.28","1.45","0.380",3,9,19,30,16,"Cardiology and Cardiovascular Medicine"
"23827","Journal of Cardiac Surgery",0.79,5,"1.73","0.16","19.19","0.654",5,"1.73","0.16","19.19","0.774",1,2,0,1,4,"Cardiology and Cardiovascular Medicine; Surgery"
"19600156852","Journal of Cardiology Cases",0.15,18,"1.89","0.47","7.66","0.371",18,"1.89","0.47","7.66","0.640",5,3,8,5,0,"Cardiology and Cardiovascular Medicine"
"23831","Journal of Cardiothoracic and Vascular Anesthesia",1.34,14,"1.14","0.28","4.53","0.857",14,"1.14","0.28","4.53","0.862",3,5,2,3,6,"Anesthesiology and Pain Medicine; Cardiology and Cardiovascular Medicine"
"7700153237","Journal of Cardiovascular Computed Tomography",2.57,8,"0.64","0.07","6.14","0.703",8,"0.64","0.07","6.14","0.661",1,2,3,2,2,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"23832","Journal of Cardiovascular Electrophysiology",2.26,84,"1.06","0.52","2.14","0.874",84,"1.06","0.52","2.14","0.471",32,20,26,21,17,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
"23845","Journal of Cardiovascular Magnetic Resonance",5.42,28,"1.10","0.39","3.13","0.860",28,"1.10","0.39","3.13","0.542",13,7,7,2,6,"Cardiology and Cardiovascular Medicine; Family Practice; Radiology Nuclear Medicine and Imaging"
"14500154702","Journal of Cardiovascular Translational Research",2.58,9,"0.72","0.07","7.10","0.781",9,"0.72","0.07","7.10","0.763",3,3,0,1,4,"Cardiology and Cardiovascular Medicine; Genetics (clinical)"
"14478","Journal of Cataract and Refractive Surgery",1.84,10,"1.98","0.41","9.63","0.396",10,"1.98","0.41","9.63","0.626",2,7,1,1,0,"Ophthalmology; Surgery"
"16667","Journal of Cerebral Blood Flow and Metabolism",4.78,19,"0.58","0.16","2.12","0.406",19,"0.58","0.16","2.12","0.621",7,2,3,4,7,"Cardiology and Cardiovascular Medicine; Clinical Neurology"
"16672","Journal of Child and Adolescent Psychopharmacology",1.64,15,"0.97","0.32","2.93","0.961",15,"0.97","0.32","2.93","0.476",0,2,5,7,3,"Pediatrics, Perinatology, and Child Health; Pharmacology (medical); Psychiatry and Mental Health"
"16674","Journal of Child Neurology",1.44,3,"0.75","0.07","8.47","0.815",3,"0.75","0.07","8.47","1.000",0,1,0,1,2,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"15402","Journal of Child Psychology and Psychiatry and Allied Disciplines",5.57,66,"0.63","0.37","1.09","0.101",66,"0.63","0.37","1.09","0.367",9,20,10,18,17,"Pediatrics, Perinatology, and Child Health; Psychiatry and Mental Health"
"15856","Journal of Clinical Densitometry",2.61,16,"0.83","0.29","2.43","0.740",16,"0.83","0.29","2.43","0.578",6,2,5,3,4,"Endocrinology, Diabetes, and Metabolism; Orthopedics and Sports Medicine; Radiology Nuclear Medicine and Imaging"
"26159","Journal of Clinical Endocrinology and Metabolism",5.05,68,"0.40","0.21","0.75","0.005",68,"0.40","0.21","0.75","0.030",28,27,19,4,3,"Biochemistry, Medical; Endocrinology, Diabetes, and Metabolism"
"15857","Journal of Clinical Epidemiology",4.25,21,"0.52","0.18","1.47","0.216",21,"0.52","0.18","1.47","0.575",13,7,5,0,0,"Epidemiology"
"25292","Journal of Clinical Gastroenterology",2.45,19,"0.65","0.16","2.65","0.547",19,"0.65","0.16","2.65","0.354",4,7,3,5,2,"Gastroenterology"
"23853","Journal of Clinical Hypertension",1.73,53,"0.22","0.08","0.66","0.007",53,"0.22","0.08","0.66","0.023",9,18,21,19,22,"Cardiology and Cardiovascular Medicine; Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"15870","Journal of Clinical Investigation",10.98,203,"0.50","0.34","0.74","0.000",203,"0.50","0.34","0.74","0.092",58,56,43,37,30,"Medicine (all)"
"15871","Journal of Clinical Microbiology",3.57,56,"0.93","0.51","1.69","0.808",56,"0.93","0.51","1.69","0.684",8,13,10,23,10,"Microbiology (medical)"
"15872","Journal of Clinical Monitoring and Computing",1.71,13,"2.24","0.42","11.90","0.344",13,"2.24","0.42","11.90","0.292",3,4,2,5,5,"Anesthesiology and Pain Medicine; Critical Care and Intensive Care Medicine; Health Informatics"
"29949","Journal of Clinical Oncology",10.11,289,"0.97","0.73","1.28","0.814",289,"0.97","0.73","1.28","0.794",98,85,63,59,47,"Oncology"
"15875","Journal of Clinical Pathology",2.33,8,"2.92","0.63","13.48","0.169",8,"2.92","0.63","13.48","0.070",3,2,0,3,0,"Pathology and Forensic Medicine"
"22983","Journal of Clinical Pharmacology",2.67,6,"1.76","0.27","11.38","0.554",6,"1.76","0.27","11.38","0.948",0,2,0,4,2,"Pharmacology (medical)"
"16685","Journal of Clinical Psychiatry",3.73,70,"0.61","0.33","1.10","0.100",70,"0.61","0.33","1.10","0.208",5,12,52,12,3,"Psychiatry and Mental Health"
"3900148612","Journal of Clinical Sleep Medicine",2.52,71,"0.60","0.34","1.06","0.080",71,"0.60","0.34","1.06","0.049",12,19,23,19,30,"Clinical Neurology; Pulmonary and Respiratory Medicine"
"19600166304","Journal of Community Genetics",1.42,3,"0.45","0.01","16.14","0.660",3,"0.45","0.01","16.14","0.998",0,0,1,0,2,"Epidemiology; Genetics (clinical); Public, Environmental, and Occupational Health"
"21100258385","Journal of Comparative Effectiveness Research",0.76,8,"0.54","0.09","3.14","0.494",8,"0.54","0.09","3.14","0.222",5,3,2,1,2,"Health Policy"
"29580","Journal of Comparative Pathology",1.17,4,"0.79","0.08","7.98","0.845",4,"0.79","0.08","7.98","0.997",1,0,1,1,4,"Pathology and Forensic Medicine"
"15439","Journal of Consulting and Clinical Psychology",4.69,4,"0.30","0.03","2.92","0.300",4,"0.30","0.03","2.92","0.664",1,2,0,0,2,"Psychiatry and Mental Health"
"15450","Journal of Contemporary Psychotherapy",1.06,4,"0.85","0.12","6.13","0.875",4,"0.85","0.12","6.13","0.594",1,2,0,2,0,"Psychiatry and Mental Health"
"21673","Journal of Craniofacial Surgery",0.63,9,"1.01","0.14","7.21","0.993",9,"1.01","0.14","7.21","0.404",1,4,2,4,2,"Otorhinolaryngology; Surgery"
"12212","Journal of Critical Care",2.2,26,"0.62","0.20","1.92","0.411",26,"0.62","0.20","1.92","0.471",10,7,10,0,0,"Critical Care and Intensive Care Medicine"
"9500154109","Journal of Crohn's and Colitis",3.66,19,"0.24","0.03","1.87","0.173",19,"0.24","0.03","1.87","0.201",8,2,5,3,3,"Gastroenterology"
"24856","Journal of Cutaneous Medicine and Surgery",0.78,3,"1.11","0.10","12.77","0.933",3,"1.11","0.10","12.77","0.999",0,0,4,0,0,"Dermatology; Surgery"
"24857","Journal of Cutaneous Pathology",1.12,5,"0.86","0.09","8.40","0.896",5,"0.86","0.09","8.40","0.770",3,3,0,0,3,"Dermatology; Histology; Pathology and Forensic Medicine"
"25294","Journal of Cystic Fibrosis",3.31,47,"0.54","0.27","1.08","0.080",47,"0.54","0.27","1.08","0.057",1,6,7,20,19,"Pediatrics, Perinatology, and Child Health; Pulmonary and Respiratory Medicine"
"15104","Journal of Developmental and Behavioral Pediatrics",2.17,10,"0.52","0.13","2.04","0.350",10,"0.52","0.13","2.04","0.389",0,2,1,6,2,"Pediatrics, Perinatology, and Child Health; Psychiatry and Mental Health"
"21100217628","Journal of Developmental Origins of Health and Disease",1.86,4,"5.17","0.41","64.86","0.203",4,"5.17","0.41","64.86","0.659",1,0,3,1,1,"Medicine (miscellaneous)"
"19700175162","Journal of Diabetes",1.78,10,"1.29","0.30","5.54","0.729",10,"1.29","0.30","5.54","0.908",0,1,5,2,5,"Endocrinology, Diabetes, and Metabolism"
"26160","Journal of Diabetes and its Complications",2.79,19,"2.10","0.74","6.01","0.166",19,"2.10","0.74","6.01","0.110",3,7,3,4,4,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"19700174684","Journal of diabetes science and technology",2.14,24,"0.81","0.28","2.35","0.703",24,"0.81","0.28","2.35","0.477",17,2,3,6,9,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"130114","Journal of Dual Diagnosis",1.25,7,"0.48","0.08","2.69","0.401",7,"0.48","0.08","2.69","0.307",3,1,0,3,0,"Psychiatry and Mental Health"
"22603","Journal of Early Intervention",1.89,4,"0.20","0.02","1.97","0.167",4,"0.20","0.02","1.97","0.998",0,4,0,0,0,"Pediatrics, Perinatology, and Child Health; Psychiatry and Mental Health"
"21100329539","Journal of Eating Disorders",1.54,5,"0.41","0.07","2.46","0.328",5,"0.41","0.07","2.46","0.134",1,2,0,1,1,"Psychiatry and Mental Health"
"23855","Journal of Electrocardiology",1.14,27,"0.47","0.11","2.06","0.317",27,"0.47","0.11","2.06","0.539",16,5,10,3,2,"Cardiology and Cardiovascular Medicine"
"19700183041","Journal of Emergencies, Trauma and Shock",0.74,6,"0.90","0.07","11.77","0.937",6,"0.90","0.07","11.77","0.908",2,3,3,1,0,"Emergency Medicine"
